spm,svar
"Hei Utsendelse av dokumenter til digital postkasse via SvarUt feiler for nye Finnmark fylkeskommune (org.nr 830090282).Ifølge SvarUt support tyder det på at det ikke er satt opp en avsenderkonto for den nye fylkeskommunen enda, noe de mener utføres av dere i Digdir. Feilmeldingen vi får returnert fra eBoks sier følgende: SdpMeldingsid: 56b2b208-4129-4c60-8807-1903d2d122fd, type: KLIENT - Reason code: SBD:5049. Afsendersystem findes ikke (slettet?), Identifier:  Har dere mulighet for å se på saken?","Hei, vi sjekker med eBoks om det er noe med oppsettet hos dem som har feilet. Kommer tilbake til dere så snart vi har fått tilbakemelding  fra dem!"
Hei Har deltatt på webinar rundt nye ID-porten i dag. Helse Sør-Øst har i dag 3 SAML 2.0 integrasjoner mot IDporten. Dette gjelder følgende EntityID’er: Sds-idfed-sso.sykehuspartner.noIdfed.ous-hf.noIdfed.ad.ahus.ni Vi planlegger med overgang til OIDC men vil starte opp dette arbeidet i første kvartal 2024. Vil våre SAML integrasjoner bli påvirket på noen måte ifm flytting av SAML integrasjoner 20. januar 2024. Integrasjonene benyttes av hjemmekontorløsninger for alle ansatte i Helse Sør-Øst og er kritisk mht oppetid. Det ble nevnt noe om lengre nedetid i webinaret uten at jeg helt forsto hva dette innebærer for oss.,"Hei, Det skal ikke være planlagt nedetid på SAML, men det vil være en periode der (single-sign-on) SSO ikke vil fungere. Kanskje dere blander med dette? Dette vil man unngå ved tidligere migrering til nye idporten"
"Jeg opprettet i går (2023-10-04 15:56:34) et nytt scope for test igjennom Mine API"" i samarbeidsportalen. https://selvbetjening-samarbeid-ver2.difi.no/scopes Det nye scopet heter fdir:resource.rent.tax Jeg får ikke hentet ut dette nyopprettede scopet, kan dere se hva som er galt? Ved forsøk på å hente ut dette scopet får jeg en feilmelding: 400 BAD_REQUEST - error:invalid_scope - msg:400 : {error"":invalid_scope,error_description:Token request contains invalid scopes for client, fdir:resource.rent.tax (trace_id: d58012d7cd6e591e2377200bdf4b771b)}""",Hei. Er scopet forhåndsregistrert på klienten? Har du eventuelt client_ID så kan sjå korleis den ser ut?
"Hei klienten ber om scope : fdir:resource.rent.tax   client_ID: a26c7074-060e-4dda-a199-553c393f852ctoken endpoint vi spør på https://ver2.maskinporten.no/tokenDenne klienten spør om flere scopes, de andre scopene fungerer (eksempel på scope som fungerer: fdir:production.tax.census.v1 )",Hei. De må registrere scopet på klienten i Samarbeidsportalen.
"Hei. I forbindelse med overgang til ny arkivløsning, så skal vi sette opp et test-integrasjonspunkt, som kobles mot test-arkiv løsningen. Fikk beskjed fra arkivleverandør, at vi da også må bestille et eget virksomhetssertifikat til test-integrasjonspunktet. Tenkte da å bestille dette:https://www.buypass.no/produkter/virksomhetssertifikat-esegl/bestill-testsertifikat-vid-europa Kan dette sertifikatet benyttes? Det har jo litt begrensning sammenlignet med ordinært sertifikat. Er det andre ting vi bør være obs på ved oppsett av test-integrasjonspunkt? Vi har installert en egen ny on-prem server her hos oss som skal kjøre test-integrasjonspunktet.   Sten Andreas Tangenikt-ansvarligvirksomhetsstyring og utvikling Mobil: +47 975 14 819Sentralbord: +47 23 400 600E-post: sat@forbrukertilsynet.no  Kontor: Porselensvegen 32, 3920 PorsgrunnPost: Postboks 2862 Kjørbekk, 3702 Skienwww.forbrukertilsynet.no Vi gjør oppmerksom på at all e-post til og fra Forbrukertilsynet i utgangspunktet vil være journalpliktig etter arkivloven,og også vil være et offentlig saksdokument som andre vil kunne få innsyn i etter offentlighetslovens regler","Hei, Riktig sertifikat der ja, Her er ting du må vere obs på: https://docs.digdir.no/docs/eFormidling/installasjon/forberede_installasjon  Håper dette hjelper"
"Hei, Vi forsøker å lage til ny integrasjon for overgang frå SOAP til REST. Men når eg loggar meg inn og skal starta å legge inn så er bla. feltet for org.nr gråa ut så eg kjem meg ikkje lenger. Eg vil tru at dette tyder på at Stad kommune ikkje er registrert som bruker av denne tenesten. Korleis går vi fram for å få oppretta brukar? hilsen stad@kommune.no","Hei, alle med @stad.kommune.no epostadresse skal ha tilgang til Samarbeidsportalen. For å kunne opprette tenester i produksjon må ein ha fått tildelt rettigheit i Altinn. Sjå korleis de går fram er: https://docs.digdir.no/docs/Maskinporten/maskinporten_sjolvbetjening_web.html#tilgang-i-produksjonsmilj%C3%B8."
Hei  Er det noen mulighet å få tilgang til å gjøre direkte oppslag i ELMA registret vha APIDet vi trenger er å søke om et org nr er registrert i ELMAVi trenger dette i ProdSys ERP system som er et landsofattende ERP systemfor produksjonsbedrifter i hele Norge,"Hei, nei, det er ikke mulig. ELMA vil kun vise et subsett av organisasjonene som ERP-systemet kan sende meldinger til. Dere må bruke Peppol-nettverket slik det er tiltenkt, dvs. SMP-oppslag, for ikke å potensielt oppleve feilsituasjoner"
Er det kun denne som må aktiveres for DPI i test?difi.move.feature.enableDPI = trueEller er det andre switcher?,Her finn du informasjon om det du spør om: https://docs.digdir.no/docs/eFormidling/installasjon/installasjon#konfigurere-digital-post-til-innbyggere-dpi
"Den har jeg lest igjennom en del ganger.Jeg finner ikke så mye info på test av DPI, hvilke test-personer kan vi sende til?",Du kan sende til denne: 24079412372 Du kan logge deg inn her: https://www.difitest.digipost.no/app/#/ passord: password01 Dere må ikkje endre på noken innstillingar for denne brukaren da det er fleire som brukar denne
"Hello,I am working on authorization implementation using ID-Porten. I was wondering if there is a possibility to register a custom URL to test the authorization flow. Do you provide such feature?Hello,I had in mind my local testing URL,Try to go to: https://samarbeid.digdir.no/ Press logg inn"" in the upper right corner. Create a user with your twoday.com adress. After login in","choose ""selvbetjening"" or go to this link: https://selvbetjening-samarbeid-ver2.difi.no/integrations Here you can create a client for test purposes. Please let me know if any problems."""
"I am able to authorize, but then I try to get access token, I get this message: Client error: `POST https://test.idporten.no/token` resulted in a `401 Unauthorized` response: ""client_auth_id"":""lsdFZ5VEiVvj8569"",error:""invalid_client"",error_description:""Invalid client: Possible causes may be 1. missing / invalid client_id; 2. missing client authentication; 3. invalid or expired client secret; 4. invalid or expired JWT authentication; 5. invalid or expired client X.509 certificate; 6. an unexpected client authentication method OST: https://test.idporten.no/token Headers:      content-type: application/x-www-form-urlencoded      Host: test.idporten.nobody:client_id=e9ea2531-13a9-427c-a3c1-97486f03f9c8&client_secret=&redirect_uri=https%3A%2F%2Fapomed81.s.local.vdc-services.io%2Fid-portal%2Fauth%2Ftoken&code_verifier=6vkhNJ8JX5m73QCQROp2l0TJokR6H8F8-pi27y8buAw7Dn7QK3l_Bl1YMn8khzio&grant_type=authorization_code&code=xYlCdCJirJvN2Gai11u86A""","I think you are having problems with authenticating your client to the token endpoint. I can see you client is configured to use private_key_jwt. This requires you to create a JWT to authenticate. See this: https://docs.digdir.no/docs/idporten/oidc/oidc_protocol_token.html#client-authentication-using-jwt-token Alternately, you can change this into client_secret_basic or client_secret_post, then you need to follow the instructions here: https://docs.digdir.no/docs/idporten/oidc/oidc_protocol_token.html#client-authentication"
Can I use self signed certificate for JWT if I want to use private_key_jwt option?,"Yes you can.Please generate a key pair, then upload the public key as a JWK on the client, Use the button called <Egne nøkler> hey have to be in JWK format and within brackets. [ ]"
eyJ0eXAiOiJKV1QiLCJhbGciOiJSUzI1NiJ9.eyJhbGciOiJSUzI1NiIsImt0eSI6IlJTQSIsInVzZSI6InNpZyIsImtpZCI6ImRpZ2l0YWxpc2VyaW5nc2RpcmVrdG9yYXRldC0tY2VydDAiLCJuIjoidThzcFJPLUJ4dUxvSlhDQ241bElSUUQ5TlVPa2locE9nSU9tTnlJeXRGZkdDUjdpdzkwMkgySGFXNUROMlppaFcxQW9pS0Z6RFJfbEZOdkVhZzQyUjhCZURtbGROQmdodVhvNDUyMFE0NFhHeVp4bXZhR0xGQTlNa1cyZTc1Mzc5ajFQUHFFbXZVNUxGNHRqeU5pZTFOYXE3bGNRQzFlMjJUNzgzUTlGZzByTl9hMlJ0a19oRjlQbzE3dk1LbXgwb3o2cVZDRFRMa3NtcjVxU1ExXzZOc3ZESnM2RmdoY28xeEdKa09VUkduM1NIZFA3dGpFX1RMVWtYZl84U2dKTlZZcjNaLXZTbGFUNUxENFljekU2YWwteklQRlRHTFlxdExaSXBCRzZUUzdVdTVUNkN3TnN0QVpzWC1McEY1WHU4eWJpZkpGYjcyWmxCM29uaTMybkVRIiwiZSI6IkFRQUIiLCJzdWIiOiJlOWVhMjUzMS0xM2E5LTQyN2MtYTNjMS05NzQ4NmYwM2Y5YzgifQ.J43PO_kkZy2C_emnlmSMMNhTV9u6p2tfVIR-BgtfTg0J0gva9nqmvVRuQavdFDKu-UXw4DMXevU1otLCLq4H7lom6I0L0zPOhC6Z1wZSpCnTQQwZZ0NT3uE6VP4ggm_-MJKuqPpjQGAa0lQiLl6Ak6HcyHehTDgfmQ0hgUdVOwriIP3mgWVDj8WKetmWlOF4yoO0iB1cdKuJFIFAjyC1mbbS9YobgdDYCSljtOll7K5Sebqw4sUk6nJKptfEMGKj0g7j2kcXdZqBjmb5YHUDMJkLzex9pRdFca2_Qkm40Ywn6wwCE_tPVqZTzr8zASQwTlYLyUfKucywojEkHLWuWAJustinas,"Hi again, This is not a valid JWT to authenticate the client. This is perhaps the public key? This key must be registered on the client. (Which you have done). When contacting the /token endpoint, you need to create a JWT. Please read: https://docs.digdir.no/docs/idporten/oidc/oidc_protocol_token.html#client-authentication-using-jwt-token And this is how a jwt-grant should look like: https://docs.digdir.no/docs/idporten/oidc/oidc_protocol_token.html#client-authentication-using-jwt-token"
"Hei,Landbruksdirektoratet (LDIR) forsøkte i dag å flytte sin OIDC-integrasjon med ID-porten i PROD, til den nye infrastrukturen. Vi er avhengige av SSO/SLO med Altinn, men denne sluttet å fungere etter vi endret. Vi er usikre på om Altinn har migrert til ny infrastruktur, men hadde forstått det slik at SSO/SLO skulle fungere mellom gammel og ny infrastruktur på nåværende tidspunkt. Stemmer dette?","hei,Les meir på https://samarbeid.digdir.no/id-porten/id-porten/1313"
"Hei.I våre integrasjonstester der vi sender digital post til innbygger benytter vi oss av testbruker med fnr: 24079412372Dette har nå sluttet å fungere med en 400 feil.exception : no.difi.meldingsutveksling.exceptions.ReceiverDoesNotAcceptProcessException,  message : Receiver do not accept the document process urn:no:difi:profile:digitalpost:vedtak:ver1.0.Finnes det oppdatert dokumentasjon noe sted for testpersoner?https://docs.digdir.no/docs/Kontaktregisteret/krr_testbrukere.htmlDenne ser ikke ut til å være gjeldende lenger for digipost bruker?""","Hei!Noen har reservert denne brukeren mot digital kommunikasjon, så derfor oppslaget feiler, bare logg inn og fjern reservasjonen: https://minprofil.test.kontaktregisteret.no/"
Hei Jeg er det heldig å må sette opp Maskinporten for kommunene.Vi må sette opp for Fiks skatte- og inntektsopplysninger Har jeg valgt rett Scopes? Det som jeg har merket rødt husker ikke helt hva som bør stå her.  Da er det vel bare å ta md buker og passord inn i fiks oppsettet?,"Hei. Dette har ikkje me oversikt over, dessverre - her må du kontakte Skatt / bruke Skatt sin tekniske dokumentasjon."
"Hei, Hva må vi som bedrift gjøre for å få mulighet til å sende post via Altinn?",Hei. Her finn du informasjon: https://www.altinndigital.no/produkter/digital-post/
"Hei Jeg skulle gjerne hatt muligheten til å legge inn nye integrasjonen for produksjon, har for test i dag. Er det noe dere kan ordne?",Hei. Tilgang til prod krev nokre rettighetar i Altinn: https://docs.digdir.no/docs/Maskinporten/maskinporten_sjolvbetjening_web.html#tilgang-i-produksjonsmilj%C3%B8
"Hei, har dere eller jobber med et alternativ til KS sin eDialog for å kunne motta sikrere forsendelser fra virksomheter og privatpersoner?",Hei! Dere kan bruke SvarUt/SvarInn samt eDialog gjennom eFormidling dersom dere ønsker det? Se punkt 1.7 her: https://samarbeid.digdir.no/eformidling/ta-i-bruk-eformidling/98 Er bare å gi en lyd så skal jeg få KS til å sende over bruksvilkår. NB! Det er en etableringsavgift som betales til KS samt at det er kostnad per melding: https://samarbeid.digdir.no/eformidling/kostnadsmodell-eformidling/111
"Forstår jeg det riktig at eFormidling/integrasjonspunktet tar seg av kommunikasjonen inn og ut hvis vi aktiverer Svar Inn/Ut/eDialogfra KS, slik at dette bare blir et avtalemessig forhold mellom oss og KS i tillegg, eller må vi også få IKT her til å gjøre mer konfigurasjoner for å få til veien ut og inn? Dere kan gjerne få KS til å sende over det som trengs av dokumenter, vi venter bare på noen litt flere avklaringer før vi ser for oss å bestille dette.","Stemmer det! Integrasjonspunktet tar seg av det tekniske, MEN det krever brukernavn og passord for henholdvis SvarUt og SvarInn: https://docs.digdir.no/docs/eFormidling/installasjon/installasjon#konfigurere-ks-svarut-og-svarinn-dpf"
"Hei, Jeg har signert en arbeidskontrakt gjennom dere, og ønsker å få tilgang til det signerte dokumentet. Har dere mulighet til å sende over den aktuelle arbeidskontrakten?Det gjelder følgende kontrakt:Hei!Du har fått en forespørsel om å signere Arbeidsavtale fra Norsk helsenett fra Norsk helsenett SF.Les og signer innen: 16.03.2021 kl. 23Ønsker å få tilsendt kontrakten til denne mailen.",Heihei. Dersom du har Digipost er det mogleg det signerte dokumentet vart sendt til postkassen din. Om så ikkje er tilfelle må du ta direkte kontakt med arbeidsgjevar og be om ein kopi.
"Ny API-tilbydar i Maskinporten1. Organisasjonsnummer:8313739622. Navn på virksomhet:Berge Kyber Engines3. Hva skal dere bruke Maskinporten til?Automatisering av uthenting av personopplysninger på vegne av private brukere. Dette er en del funksjonaliteten vi ønsker tilby våre brukere av Den Private Personlige AI-Assistenten"" vi utvikler. 4. Kontaktperson:Anders Størkson Berge5. Fakturaadresse:Søre Nyhaugåsen 27A6. Fakturareferanse:Project 001 ""The Personalized AI-Assistant""7. Forventet antall konsumenter kommende år:Forhåpentligvis mange, avhenger av hvor mange bruker vi får.8. Hvordan ønskes selvbetjening?Begge delerIf you want to unsubscribe from these emails, please use this form.""","Hei. Dessverre fell ikkje denne bruken innanfor våre retningslinjer for kven som kan ta i bruk våre fellesløysingar, og de kan ikkje ta i bruk våre løysingar til dette. Ref. bruksvilkår 1.2: 1.2 Virksomheter som kan benytte fellesløsningene Følgende virksomheter kan benytte seg av fellesløsningene: Offentlig virksomhet og virksomheter som utfører oppgaver på vegne av, og som helt eller delvis er finansiert av, det offentlige. Dette omfatter blant annet alle sentrale og lokale statlige organer, herunder tilsyn, ombud og direktorater, alle fylkeskommuner, kommuner og kommunale etater, samt offentlig eide selskaper som bare leverer tjenester til det offentlige (egenregi). I tillegg omfattes private virksomheter som treffer vedtak etter forvaltningsloven, og private virksomheter som yter tjenester etter avtale med og på vegne av det offentlige, men da begrenset til den delen av virksomheten som omfattes av forvaltningsloven eller utføres på vegne av det offentlige."
"Hei. Jeg skulle nå laste ned de signerte avtale.Østfold fylkeskommune gikk greit. Der får jeg lastet ned begge bruksvilkårene. Men da jeg logget på Akershus fylkeskommune og Buskerud fylkeskommune, så var det noen rare ting: For det første, der sto det østfold fylkeskummene på begge avtalene: Jeg er altså inne på Akershus: Går så til Virksomhetens bruksvilkår. Klikker så på disse toNår jeg kommer inn der, står det østfold på begge pdf’ene:  Og når jeg klikker på dem, kommer denne meldingen (gjelder begge)",Vil du se om dette fortsatt skjer? Det kan tenkes at det var noen informasjonskapsler som laget litt krøll dersom du sjekket alle i samme nettleser rett etter hverandre. Om du har mulighet - sjekk gjerne i forskjellige nettlesere.
"Hei!Eg har i dag forsøkt å signere digitalt ein forsendelse eg har laga hos dykk, men opplevde å trykke feil (tydelegvis) nok gongar til at eg vart blokkert. Eg fekk spørsmål om hovudnummer, og forsøkte meg på koden på mobil, og kode på bankId, men begge var tydelegvis feil. Kva er då hovudnummer? Er det telefonnummer de vil eg skal signere med, eller kva nummer meinar de med hovudnummer?Beklagar bryet, men dette såg enkelt ut, og så gjekk det i stå. Kan de hjelpe meg med å få denne i hamn?",Hei. Kontakt Posten som er ansvarleg for tjenesten
"Hei,  Vi er et selskap som leverer digitale tjeneste til leger, for å forbedre og forenkle konsultasjonene. Vi jobber også med å levere ett nytt kø og klinisk-sorterings system til Selv og samfunn for tiden, og ser at pga utstrakt bruk av BankId blir tjenesten dyr for dem, selvom vi ikke tar noen fortjeneste. Hadde det være mulig for oss å bruke ID-porten for innlogging?For mer informasjon om produktet vårt, se https://www.preformacare.com/","Hei. De kan gå til https://samarbeid.digdir.no/ - Velge fellesløysinga de ønsker ta i bruk (ID-Porten)- Fylle ut informasjonsskjema og sende til oss. Me vil då ta ei vurdering på om de treff kriteria for å ta i bruk ID-Porten, og de vil få svar i løpet av kort tid."
"Hei,Vi har behov for en testmottaker som ikke har digital postboks og som aldri har logget på Altinn.Kan dere skaffe til veie en slik testbruker?Vi har brukt https://www.skatteetaten.no/skjema/testdata/  og det gir ikke ønsket resultat. Testmottakerne derfra har digital_dpv for dpi info melding som da går til Altinn.","Alle testbrukere vil kunne motta info som digital_dpv, men anbefaler at dere bruker vedtakprosessen"
"Hei, Tidligere så kunne vi benytte testbrukere herifra https://docs.digdir.no/docs/idporten/idporten/idporten_testbrukere.html både for Bankid og MinID. Det fungerer fint med BankID(otp og qwer1234), men hvis jeg tester med MinID(password01 12345) , så feiler det når jeg legger inn kode(12345) Har dere endret noe rundt dette?",Hei. Ja. Dersom du ønsker å nytta MinID må du følga instruksjonane som du finn i lenka du sendte - pid som er lista opp på sida er for BankID.
"Hei. Vi har en ansatt som har tilgang til opprettelse av ID-porten integrasjoner, men mangler rettigheter til å redigere eksiterende integrasjoner. Han har behov for å kunne endre på integrasjoner som er opprettet forbindelse med oppgradering til nye ID porten for produktene ACOS Interact og CMS. Vi ber derfor om at dere øker rettighetene hannes, slik at han kan editere eksisterende integrasjoner. Ber om tilbakemelding når detter er utført.",Hei. Rettighetar til dette vert delegert i Altinn. Les meir her: https://docs.digdir.no/docs/Maskinporten/maskinporten_sjolvbetjening_web.html#tilgang-i-produksjonsmilj%C3%B8
"Hei, Jeg har aldri satt opp noe integrasjon eller api her inne før, så jeg lurte på om det var mulig å få litt hjelp til å finne ut av de riktige stegene. Så langt så har jeg fått opp en selvbetjenings integrasjon i test. Den hadde bare delegering som jeg kunne velge fra scope som het svv, som jeg regner med at er statens vegvesen. Er de andre scopene bare tilgjengelig i prod eller er det noe som skulle vært gjort for å aktivere det. etter dette er jeg litt usikker på hvordan jeg kommer videre, er det sånn at hvis jeg skal bruke maskinporten, så må jeg få laget en jwt nøkkel? er det da noe jeg må lage selv og legge inn her?",Hei.Vegvesen har god dokumentasjon på API dei tilbyr: https://autosys-kjoretoy-api.atlas.vegvesen.no/
"Hei, I siste webinar fra Samhandler portalen om ny virksomhetsarkitektur for nye ID Porten så ble det også nevnt at MinID skulle gå over til MinID+ med to faktorautentiseringer. I tillegg vil Pinkode forsvinne fra MIN ID Og erstattes av en aktiveringsbrev.   Vil MinID fungerer slik den gjør i dag uten oppgradering til MinID+ for brukere som velger denne påloggingen; https://eid.difi.no/nb/minid Ref. at det 3.okotber opphørte å sende ut nye brev med PIN Koder. Nye brukere vil få tilsendt MinID aktiveringsbrev i stedet for Pin koder. Hvilket år er det dette gjelder for?  Kan MinID fungerer med aktiveringsbrev eller må man over til MinID+ for å få brukt MinID Med aktiveringsbrev? Og hvor lenge vil MinID med pinkode brev bli støttet av IDporten og Digdir?","Hei, Noen avklaringer: MinID er allerede over på ny plattform (ny systemarkitektur) = MinID+ Gamle MinID hadde og nye MinID+ har to-faktor-autentisering (passord + sms/app) PIN-koder har vært vekke fra MinID siden i fjor 30.10.2022 i produksjon og er erstattet med aktiveringsbrev. Pin-koder er også avviklet i test-miljøet.I test-miljøet er det mulig å opprette MinID-testbrukere, og istedet for tilsending av aktiveringsbrev får man umiddelbart tilsendt en aktiveringskode: https://docs.digdir.no/docs/idporten/idporten/idporten_testbrukere.html#minid"
Hei.Vi har en ressurs som har gitt tilbakemelding om at han ikke finner avtale til signering på posten.signering.no.Fra oss står den med status sendt.Gjelder følgende ressurs: Har dere mulighet til å sjekke dette?,"Hei, hva er fødselsdato til signatar? (Vil kun ha dag, måned og år, ikke fullt fødselsnummer)."
"Hei Vi har mottatt en henvendelse fra en leverandør som opplever problemer i Altinn.Denne saken har tidligere blitt sendt til servicedesk@altinn, men vi har fått beskjed om å sende dette til servicedesk@digdir.Kan dere undersøke hvorfor de får disse feilmeldingene? Si gjerne ifra dersom dere trenger mer informasjon fra leverandøren.  “When we are testing in the test environment, we received HTTP 400 error and an error message “Issuer is not supported: https://ver2.maskinporten.no/” when we call the api/ConsentRequest endpoint at https://tt02.altinn.no This error does not happen every time, but we have encountered this error 9 out of 10 times when we invoked the endpoint. I first received this error about 3 weeks ago from the endpoint api/ConsentRequest in https://tt02.altinn.no Request:{  coveredBy"": ""927016966"",  ""handledBy"": ""929260465"",  ""offeredBy"": ""30926197564"",  ""offeredByName"": ""TANKE"",  ""validTo"": ""2023-09-27T14:08:34.1901820+00:00"",  ""redirectUrl"": https://noitso.dk,  ""portalViewMode"": 0,  ""requestResources"": [    {      ""serviceCode"": ""4628"",      ""serviceEditionCode"": 210607,      ""metadata"": {          ""inntektsaar"": ""2017""      }    },    {      ""serviceCode"": ""4804"",      ""serviceEditionCode"": 210607,      ""metadata"": {        ""fraOgMed"": ""2021-01"",        ""tilOgMed"": ""2021-12""      }    }    ]}  Error:HTTP 400 “Issuer is not supported: https://ver2.maskinporten.no/”  Do you know what would be the cause of the issue?  We do not generate the issuer. The issuer is coming from the JWT provided by maskinporten. We just pass this as the bearer token when we call Altinn’s endpoint. FYI, this is the JWT that we received from Maskinpoten and it shows that the issuer is https://ver2.maskinporten.no . You can also see that the “client_id” field is also included in the token. It seems to me that Altinn does not accept this issuer.""","Heihei. JWT ser ikkje heilt bra ut - issuer skal peika mot client_ID, og audience er ikkje med - denne skal gå mot miljø. Dei bør òg gå mot https://test.maskinporten.no/ og ikkje ver2.maskinporten. Dokumentasjon på JWT-grant her: https://docs.digdir.no/docs/Maskinporten/maskinporten_protocol_jwtgrant.html# Well-known endepunkt her: https://docs.digdir.no/docs/Maskinporten/maskinporten_func_wellknown.html"
"I have used https://test.maskinporten.no to get the JWT token, and I am still getting the same error. Below is the JWT that was generated by Maskinporten when we called endpoint https://test.maskinporten.no/token. The issuer is still not the client_id, and the audience is missing. Are we able to check with Maskinpoten on why the JWT they provided have these issues?","Hei. Forsøk endepunkt  https://test.maskinporten.no/ , Følg med på Følg med på: https://testmiljo.status.digdir.no/ for oppdateringer om eventuelle problemer i testmiljøet"
"Hei, jeg behøver hjelp med innstillinger til å bruke en API gjennom maskinporten. Det gjelder fdir:nytekapi. Har dere noen som kan hjelpe med det?","Er dette eit scope frå Fiskeridirektoratet? Då må du få tilgang til scopet frå dei. Dersom du skal sette opp klient finn du informasjon her, https://docs.digdir.no/docs/Maskinporten/maskinporten_sjolvbetjening_web"
"Hei, ja, det er fra Fiskeridirektoratet og vi har et scope. Jeg ser ut ifra lenken du sendte at vi allerede stopper opp her:  Her er swagger-lenken vi har fått fra FDir:https://testapi.fiskeridir.no/nytek-protected/swagger-ui/index.htmlHer kommer vi oss ikke inn med nøklene vi fikk.  Vi har en integrasjon: Men ingen API. Skal det være slik? Scope er angitt som «fdir:nytekapi»  Hvordan får vi kontakt med API’en?","HeiDet må vere ein som har myndigheit som kan kan delegere denne tilgangen. Her er dokumentasjon for konsument, https://docs.digdir.no/docs/Maskinporten/maskinporten_guide_apikonsument"
"Vi bruker test integrasjon mot Tenor, og det fungerer fint med vårt eget Orgnr (917254532). Når vi forsøker å bruke våre kunders Orgnummer, eksempelvis 920999360 (Fair Collection), fungerer det ikke. I produksjonsmiljøet fungerer det fint med delegerte rettigheter, og dette gjøres via AltInn. Hvordan er det ment å fungere i test? Er det en egen test-portal for Altinn hvor vi kan delegere? Eller er det greit at vi bruker vårt egen orgnummer mot Tenor for alle kunder?","Hei. Onbehalfof er ein funksjon som ikkje fungerer med Maskinporten. Når du som leverandør skal spør på vegne av ein konsument må de bruka consumer_org claimet i grantet. Les meir her: https://docs.digdir.no/docs/Maskinporten/maskinporten_guide_apikonsument.html#bruke-delegering-som-leverand%C3%B8r De går då ei spørring mot Altinn som sjekkar leverandørrettighetar. Det er altså ikkje Onbehalfof-funksjonen som skal nyttast i desse integrasjonane. Dersom org.nummeret skal fungera i test må det vera registrert i testmiljø, og tilgang til scope må vera delegert i test. Dette kan de eventuelt sjekka med Skatt. For å få delegert rettigheter må organisasjonen òg vera registrert i TT02 hos Altinn."
"Takk, jeg skrev nok feil. Vi bruker consumer_org, og problemet ligger nok i at vår kunde må delegere rettigheter i Altinn testportalen. Er det Skatt som kan gi disse tilgangene?","Hei. Tilbydar (Skatt) gjer tilgang til scope, og delegering skjer i TT02 hos Altinn - så dersom det er delegering som manglar er det hos Altinn. Forsøk tjenesteeier@altinn.no eller servicedesk@altinn.no"
"Hei,Har et spørsmål – regner med at dere er de rette å svare på dette:En offentlig bedrift – skjerming av tittel føre det legges ut på eInnsyn. Ordet er «Bekymringsmelding»Kan man ved alle anledninger også når det gjelder bedrift/organisasjon – skjerme tittelen på saksmappa/jouranlposten helt, slik at det vises kun med **** (stjerner) på denne måten når det blir liggende ute på eInnsynHar googlet med finner ingenting – synes å huske at det kanskje ikke er lov, og at et heller aldri bør stå kun ****** da det alltids er et ord som kan stå åpnet? Men jeg husker ikke helt.På eInnsyn vises det som:Fjerner man skjermingen står det:** ************* ****Rema 1000 - Bekymringsmelding 999666*********** *****Bekymringsmelding 666999","Hei! En skal kunne skjerme hvilke ord en vil, Se eks: https://einnsyn.no/saksmappe?id=http%3A%2F%2Fdata.einnsyn.no%2Fnoark4%2FSaksmappe--972417823--255--2023"
Hei Vi bytter barneversnsystem og skal gjenbruke org nr 883593502 - var i bruk på konto 0105_barnevern  Vi får opp denne feilmelding  Scope i maskinporten,"Hei, er det viktig at det brukes underenhetens orgnr på oppsettet eller kan vi bruke Sarpsborg kommune sin avtale og opprette en egen avsenderidentifikator for barnevern? Dersom dere skal bruke orgnr til en underenhet må dere ha en leverandør som opptrer som behandler for underenheten (bruker sitt virksomhetssertifikat)"
"Hei,  Er det mulig å sende innsynskrav fra andre org.numre enn digdir sitt?Hvis ja, hvordan kan jeg da sende et innsynkrav fra f.eks. Acos Mor til Acos?","Rent teknisk går det kanskje an å sende innsynskrav til andre, men såvidt jeg vet så lytter integrasjonspunktet på en servicebus der innsynskravene legger seg. Den er satt automatisk her i test, så må evt overstyres i properties: difi.move.nextmove.serviceBus.baseUrl=efm-dpe-qa.servicebus.windows.net Dersom du vil kan du ta en kikk på Servicebus REST Clienten til integrasjonspunktet? https://github.com/felleslosninger/efm-integrasjonspunkt/blob/master/integrasjonspunkt/src/main/java/no/difi/meldingsutveksling/nextmove/servicebus/ServiceBusRestClient.java"
"Hei,  Vi har ved flere anledninger opplevd at følgende feil kommer opp ved forsøk på å bruke ID-porten som autentisering for pålogging til våre skjema. Senest for Vardø kommune. Kan dere si noe om hva dette innebærer, og eventuelt hva som må på plass for å fikse dette?,Hei. Er dette noko de klarar gjenskapa, eller er det litt tilfeldig?Dette skjer ein gong i blant og kan ha fleire årsakar.-Det er lenka til ein gammal"" sesjon- Sesjonen har gått ut (brukar brukt for lang tid)- Utdatert utstyr eller software- Virusprogram med (for) streng validering, I dei aller fleste tilfella løyser dette seg ved at brukar tømmer logg og nettstedsdata","lukker nettlesar og startar på ny."""
